text;topic;predicted;extra;not_predicted
3199;образование;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;образование
7372;техника;политика и общественная жизнь;политика и общественная жизнь;техника
6357;история,наука и технологии;история;;наука и технологии
7727;администрация и управление,история;администрация и управление;;история
3994;криминал;здоровье и медицина;здоровье и медицина;криминал
8443;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
11493;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
3365;криминал;криминал;;
2603;природа,досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;природа,досуг, зрелища и развлечения
7876;образование;политика и общественная жизнь;политика и общественная жизнь;образование
8980;армия и вооруженные конфликты;политика и общественная жизнь;политика и общественная жизнь;армия и вооруженные конфликты
9380;политика и общественная жизнь;политика и общественная жизнь;;
6234;политика и общественная жизнь;политика и общественная жизнь;;
5721;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
11490;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
10926;частная жизнь;история;история;частная жизнь
3285;право,политика и общественная жизнь;политика и общественная жизнь,право;;
2531;спорт;искусство и культура;искусство и культура;спорт
1976;досуг, зрелища и развлечения;экономика;экономика;досуг, зрелища и развлечения
8315;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство;производство;экономика,бизнес,бизнес, коммерция, экономика, финансы
10021;армия и вооруженные конфликты;политика и общественная жизнь;политика и общественная жизнь;армия и вооруженные конфликты
3389;досуг, зрелища и развлечения;производство;производство;досуг, зрелища и развлечения
9699;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
4524;спорт;производство;производство;спорт
30;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,строительство и архитектура
9541;частная жизнь,образование;частная жизнь;;образование
4389;лесное хозяйство;администрация и управление;администрация и управление;лесное хозяйство
2643;политика и общественная жизнь;политика и общественная жизнь;;
4954;техника,сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;техника,сельское хозяйство
3209;право,экономика,бизнес,бизнес, коммерция, экономика, финансы;право;;экономика,бизнес,бизнес, коммерция, экономика, финансы
10129;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
7717;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
1133;политика и общественная жизнь;политика и общественная жизнь;;
4039;образование;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;образование
2113;политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь
8221;право,политика и общественная жизнь;политика и общественная жизнь;;право
1014;происшествия;происшествия;;
10344;политика и общественная жизнь;политика и общественная жизнь;;
9906;администрация и управление,образование;администрация и управление;;образование
9815;политика и общественная жизнь;политика и общественная жизнь;;
9817;спорт;армия и вооруженные конфликты;армия и вооруженные конфликты;спорт
9353;право;политика и общественная жизнь;политика и общественная жизнь;право
4400;политика и общественная жизнь;политика и общественная жизнь;;
7285;искусство и культура;наука и технологии;наука и технологии;искусство и культура
8058;дом и домашнее хозяйство;дом и домашнее хозяйство;;
6732;политика и общественная жизнь;политика и общественная жизнь;;
5907;досуг, зрелища и развлечения,образование;политика и общественная жизнь;политика и общественная жизнь;образование,досуг, зрелища и развлечения
2132;политика и общественная жизнь;политика и общественная жизнь;;
3445;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4891;политика и общественная жизнь;политика и общественная жизнь;;
1555;политика и общественная жизнь;политика и общественная жизнь;;
11066;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
3381;производство;политика и общественная жизнь;политика и общественная жизнь;производство
8800;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
7016;искусство и культура;искусство и культура;;
294;техника;политика и общественная жизнь;политика и общественная жизнь;техника
5435;спорт;производство;производство;спорт
2730;дом и домашнее хозяйство;дом и домашнее хозяйство;;
8645;политика и общественная жизнь;политика и общественная жизнь;;
9242;здоровье и медицина;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;здоровье и медицина
7821;частная жизнь;строительство,строительство и архитектура;строительство,строительство и архитектура;частная жизнь
3085;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь;;армия и вооруженные конфликты
858;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
4621;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
6549;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;экономика,бизнес
10334;частная жизнь;частная жизнь;;
5036;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
4180;дом и домашнее хозяйство;дом и домашнее хозяйство;;
5163;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
3105;администрация и управление;спорт;спорт;администрация и управление
7465;политика и общественная жизнь;политика и общественная жизнь;;
10275;здоровье и медицина;искусство и культура;искусство и культура;здоровье и медицина
2871;здоровье и медицина,транспорт,спорт;администрация и управление;администрация и управление;транспорт,здоровье и медицина,спорт
11769;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
11080;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1800;криминал;криминал;;
10876;частная жизнь;искусство и культура;искусство и культура;частная жизнь
7863;политика и общественная жизнь;политика и общественная жизнь;;
8883;искусство и культура;администрация и управление;администрация и управление;искусство и культура
4599;техника;политика и общественная жизнь;политика и общественная жизнь;техника
7698;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
393;политика и общественная жизнь;производство;производство;политика и общественная жизнь
10727;политика и общественная жизнь;политика и общественная жизнь;;
10720;администрация и управление;администрация и управление;;
9466;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
211;религия;политика и общественная жизнь;политика и общественная жизнь;религия
7385;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь;;экономика,бизнес,бизнес, коммерция, экономика, финансы
237;спорт;спорт;;
4865;право;политика и общественная жизнь;политика и общественная жизнь;право
3155;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь;;армия и вооруженные конфликты
1235;искусство и культура;искусство и культура;;
6877;право,политика и общественная жизнь;политика и общественная жизнь,право;;
10889;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
4049;политика и общественная жизнь;политика и общественная жизнь;;
11603;политика и общественная жизнь;политика и общественная жизнь;;
8978;политика и общественная жизнь;экономика;экономика;политика и общественная жизнь
310;природа;политика и общественная жизнь;политика и общественная жизнь;природа
5669;политика и общественная жизнь;политика и общественная жизнь;;
824;политика и общественная жизнь;политика и общественная жизнь;;
3780;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
3471;администрация и управление,транспорт,спорт;спорт;;администрация и управление,транспорт
10237;политика и общественная жизнь;политика и общественная жизнь;;
369;политика и общественная жизнь;политика и общественная жизнь;;
7562;политика и общественная жизнь;политика и общественная жизнь;;
9781;политика и общественная жизнь;политика и общественная жизнь;;
2276;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
8543;строительство и архитектура,строительство;строительство,строительство и архитектура;;
1009;политика и общественная жизнь;политика и общественная жизнь;;
8435;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
5563;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
6396;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
3645;политика и общественная жизнь;политика и общественная жизнь;;
1468;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
3045;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
2661;политика и общественная жизнь;политика и общественная жизнь;;
911;экономика,криминал,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы,криминал
4451;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,строительство и архитектура
10114;строительство и архитектура,строительство;строительство,строительство и архитектура;;
11049;строительство и архитектура,история,строительство;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;строительство,история,строительство и архитектура
8991;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4765;право;право;;
134;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
2734;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
8819;астрология, парапсихология, эзотерика,психология;астрология, парапсихология, эзотерика,частная жизнь;частная жизнь;психология
7597;экономика,бизнес,бизнес, коммерция, экономика, финансы;наука и технологии;наука и технологии;экономика,бизнес,бизнес, коммерция, экономика, финансы
2453;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
10877;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
7906;политика и общественная жизнь;политика и общественная жизнь;;
7765;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
7107;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
6701;экономика,бизнес,бизнес, коммерция, экономика, финансы;право;право;экономика,бизнес,бизнес, коммерция, экономика, финансы
9139;дом и домашнее хозяйство,образование;политика и общественная жизнь;политика и общественная жизнь;образование,дом и домашнее хозяйство
1899;природа;администрация и управление;администрация и управление;природа
9320;политика и общественная жизнь;политика и общественная жизнь;;
1269;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
534;транспорт,экономика,бизнес,бизнес, коммерция, экономика, финансы,спорт;транспорт;;спорт,экономика,бизнес,бизнес, коммерция, экономика, финансы
2693;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
6979;путешествия;досуг, зрелища и развлечения;досуг, зрелища и развлечения;путешествия
6339;политика и общественная жизнь;политика и общественная жизнь;;
11633;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь,статистика;политика и общественная жизнь,статистика;экономика,бизнес,бизнес, коммерция, экономика, финансы
197;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
9351;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11773;политика и общественная жизнь;политика и общественная жизнь;;
8995;политика и общественная жизнь;здоровье и медицина,политика и общественная жизнь;здоровье и медицина;
11099;искусство и культура;искусство и культура;;
8695;строительство и архитектура,строительство;строительство,строительство и архитектура;;
11376;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
4958;администрация и управление;право;право;администрация и управление
7664;администрация и управление;здоровье и медицина;здоровье и медицина;администрация и управление
9258;политика и общественная жизнь;политика и общественная жизнь;;
9049;политика и общественная жизнь;политика и общественная жизнь;;
5752;политика и общественная жизнь;политика и общественная жизнь;;
5154;частная жизнь,образование;политика и общественная жизнь;политика и общественная жизнь;образование,частная жизнь
10777;здоровье и медицина;администрация и управление;администрация и управление;здоровье и медицина
5829;политика и общественная жизнь;политика и общественная жизнь;;
2091;образование;политика и общественная жизнь;политика и общественная жизнь;образование
1328;политика и общественная жизнь;политика и общественная жизнь;;
6529;социология,наука и технологии,политика и общественная жизнь;политика и общественная жизнь;;социология,наука и технологии
5260;политика и общественная жизнь;политика и общественная жизнь;;
9141;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
2014;политика и общественная жизнь;политика и общественная жизнь;;
8185;сельское хозяйство;здоровье и медицина;здоровье и медицина;сельское хозяйство
10313;образование;политика и общественная жизнь;политика и общественная жизнь;образование
10281;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь;;экономика,бизнес,бизнес, коммерция, экономика, финансы
3402;политика и общественная жизнь;политика и общественная жизнь;;
8862;политика и общественная жизнь;политика и общественная жизнь;;
8899;частная жизнь;транспорт;транспорт;частная жизнь
7423;частная жизнь;частная жизнь;;
4229;политика и общественная жизнь;политика и общественная жизнь;;
9212;политика и общественная жизнь;политика и общественная жизнь;;
9644;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
3148;политика и общественная жизнь;политика и общественная жизнь;;
6476;транспорт,спорт;криминал;криминал;транспорт,спорт
4083;искусство и культура,политика и общественная жизнь;политика и общественная жизнь;;искусство и культура
8202;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь;;экономика,бизнес,бизнес, коммерция, экономика, финансы
4554;политика и общественная жизнь;политика и общественная жизнь;;
4815;политика и общественная жизнь;политика и общественная жизнь;;
1758;частная жизнь;строительство и архитектура;строительство и архитектура;частная жизнь
5512;здоровье и медицина,досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,досуг, зрелища и развлечения
7933;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
11451;путешествия,религия,политика и общественная жизнь;религия,путешествия;;политика и общественная жизнь
9803;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
3861;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы;администрация и управление;администрация и управление;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы
4352;политика и общественная жизнь;политика и общественная жизнь;;
305;спорт;происшествия;происшествия;спорт
5311;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
2357;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
374;спорт;криминал;криминал;спорт
8122;история,наука и технологии;история;;наука и технологии
10948;политика и общественная жизнь;политика и общественная жизнь;;
6348;политика и общественная жизнь;политика и общественная жизнь;;
6942;техника;политика и общественная жизнь;политика и общественная жизнь;техника
3438;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
4755;политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь
3222;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
5785;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
415;здоровье и медицина;спорт;спорт;здоровье и медицина
864;политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь
2800;администрация и управление,спорт;администрация и управление;;спорт
10518;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
10541;политика и общественная жизнь;политика и общественная жизнь;;
10863;политика и общественная жизнь;политика и общественная жизнь;;
5784;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
3857;политика и общественная жизнь;политика и общественная жизнь;;
8325;политика и общественная жизнь;политика и общественная жизнь;;
579;сельское хозяйство;администрация и управление;администрация и управление;сельское хозяйство
4210;строительство и архитектура,сельское хозяйство,строительство;администрация и управление;администрация и управление;строительство,сельское хозяйство,строительство и архитектура
966;политика и общественная жизнь;политика и общественная жизнь;;
1513;право,экономика,бизнес,бизнес, коммерция, экономика, финансы;право,энергетика;энергетика;экономика,бизнес,бизнес, коммерция, экономика, финансы
9917;администрация и управление;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;администрация и управление
1319;политика и общественная жизнь;политика и общественная жизнь;;
9734;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы
9997;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
10392;образование;политика и общественная жизнь;политика и общественная жизнь;образование
1768;частная жизнь,искусство и культура;спорт;спорт;искусство и культура,частная жизнь
